Timestamp	Estimated Global Triangle Count
983114721	153.0
983114748	160.0
983117322	169.0
983119463	176.0
983119594	182.0
983119615	189.0
983119843	197.0
983119897	204.0
983120271	211.0
983120766	219.0
983121065	228.0
983121420	238.0
983122110	249.0
983123157	258.0
983124422	268.0
983124698	278.0
983125604	288.0
983126003	299.0
983126912	310.0
983142000	237.0
996905441	156.0
996906629	166.0
996906851	175.0
996906989	182.0
996907961	190.0
996909811	200.0
996911141	209.0
996911254	218.0
996914898	228.0
1023498806	154.0
1023499527	160.0
1023500018	166.0
1023500329	169.0
1023500648	174.0
1023500651	182.0
1023501138	188.0
1023501159	194.0
1023501276	199.0
1023503185	207.0
1023503581	214.0
1023503831	223.0
1023503841	230.0
1023503942	242.0
1023504490	251.0
1023505024	263.0
1023505327	269.0
1023505612	276.0
1023506895	284.0
1023507632	293.0
1023508007	305.0
1023508202	313.0
1023508309	326.0
1023508448	338.0
1023509806	346.0
1023510018	356.0
1023511017	366.0
1023511185	377.0
1023515637	385.0
1023516627	396.0
1023516684	409.0
1023517537	420.0
1023518909	430.0
1023519181	442.0
1023519709	454.0
1023519726	466.0
1023521804	479.0
1023521966	492.0
1023522316	505.0
1023522846	518.0
1023523224	532.0
1023523988	546.0
1023524056	560.0
1039816563	152.0
1039816782	159.0
1039816890	169.0
1039820400	170.0
1039820547	179.0
1039820645	185.0
1039820970	189.0
1039822031	197.0
1039822481	205.0
1039825261	214.0
1039826211	220.0
1039828367	226.0
1039828749	236.0
1039829804	244.0
1039830033	254.0
1039830607	263.0
1039830921	274.0
1039831855	285.0
1039831872	296.0
1039832348	307.0
1039832456	319.0
1039833870	331.0
1039835244	342.0
1039835354	354.0
1039835662	366.0
1049456611	153.0
1049457086	160.0
1049457562	163.0
1049457915	170.0
1049458205	174.0
1049458316	181.0
1049458528	189.0
1049459028	199.0
1049460919	206.0
1049460939	212.0
1049461465	220.0
1049464773	229.0
1049464784	239.0
1049465038	247.0
1049465810	256.0
1049467069	266.0
1049467142	274.0
1049467210	283.0
1049467716	293.0
1049469048	304.0
1049470883	316.0
1049470895	326.0
1049472533	336.0
1049473698	346.0
1049473915	359.0
1049474278	372.0
1049475716	382.0
1049477216	393.0
1049478398	405.0
1049479754	417.0
1049482976	429.0
1049483513	442.0
1049483938	455.0
1049493600	380.0
1056803786	157.0
1056807139	166.0
